name,ra,dec,vmag
HIP 76267,233.6716229,26.71491041, 2.22
HIP 72105,221.2468787,27.07417383, 2.35
HIP 13209,42.49578911,27.26079044, 3.61
HIP 86974,266.6154955,27.72249917, 3.42
HIP 36046,111.4319837,27.79828561, 3.78
HIP 95947,292.6803553,27.9596948, 3.05
HIP 37826,116.3306826,28.02631031, 1.16
HIP 113881,345.9430558,28.08245462, 2.44
HIP 25428,81.57290804,28.60787346, 1.65
HIP 88794,271.8856282,28.76247025, 3.84
HIP 677,2.09653333,29.09082805, 2.07
HIP 75695,231.9577163,29.10549164, 3.66
HIP 87933,269.4409611,29.24792527, 3.70
HIP 8796,28.27041595,29.57939727, 3.42
HIP 112158,340.7505357,30.22130866, 2.93
HIP 104732,318.2340898,30.22708128, 3.21
HIP 71053,217.957741,30.37114497, 3.57
HIP 3092,9.83165567,30.86122579, 3.27
HIP 83207,255.0725258,30.92633926, 3.92
HIP 55203,169.5468333,31.53077778, 3.79
HIP 81693,250.3228213,31.60188695, 2.81
HIP 18246,58.53299363,31.88365776, 2.84
HIP 36850,113.650019,31.88863645, 1.58
HIP 17448,56.07969347,32.28827325, 3.84
HIP 93194,284.7359357,32.68955312, 3.25
HIP 55219,169.6198139,33.09423881, 3.49
HIP 23015,74.24840098,33.16613537, 2.69
HIP 74666,228.8754324,33.31510222, 3.46
HIP 92420,282.5199746,33.36267788, 3.52
HIP 33018,103.1972503,33.96136985, 3.60
HIP 102488,311.5518009,33.96945334, 2.48
HIP 53229,163.3276661,34.21556641, 3.79
HIP 45860,140.2644117,34.39252592, 3.14
HIP 10064,32.38550383,34.98739204, 3.00
HIP 98110,299.0766507,35.08349079, 3.89
HIP 5447,17.43248991,35.62083048, 2.07
HIP 18614,59.74124892,35.79102701, 3.98
HIP 45688,139.7111139,36.80289763, 3.82
HIP 84380,258.7618928,36.80915527, 3.16
HIP 28380,89.93015897,37.21276409, 2.65
HIP 87808,269.0632439,37.25052158, 3.86
HIP 104887,318.6972776,38.04432043, 3.74
HIP 71075,218.0198242,38.30788348, 3.04
HIP 63125,194.0076705,38.31824617, 2.89
HIP 4436,14.18790699,38.49925513, 3.86
HIP 91262,279.2341083,38.78299311, 0.03
HIP 14354,46.29373754,38.84053298, 3.32
HIP 81833,250.7239107,38.92246103, 3.48
HIP 27673,87.87246934,39.14847936, 3.97
HIP 18532,59.46342138,40.01027315, 2.90
HIP 100453,305.5570835,40.2566815, 2.23
HIP 73555,225.486638,40.39063671, 3.49
HIP 14576,47.04220716,40.9556512, 2.09
HIP 23453,75.61950025,41.07588953, 3.69
HIP 103413,314.2933818,41.16719384, 3.94
HIP 23767,76.62862102,41.23464074, 3.18
HIP 50801,155.5825136,41.4994335, 3.06
HIP 44248,135.1614677,41.78344401, 3.96
HIP 113726,345.4801938,42.32597866, 3.62
HIP 9640,30.97466283,42.32984832, 2.10
HIP 17529,56.29851422,42.57854437, 3.77
HIP 50372,154.2746956,42.91446855, 3.45
HIP 23416,75.49222507,43.82331397, 3.03
HIP 104060,316.2327325,43.92785122, 3.72
HIP 54539,167.4160809,44.49855337, 3.00
HIP 14668,47.37345463,44.85788896, 3.79
HIP 28360,89.88237261,44.94743492, 1.90
HIP 97165,296.2435088,45.13069195, 2.86
HIP 102098,310.3579727,45.28033423, 1.25
HIP 106481,323.4953036,45.59206564, 3.98
HIP 24608,79.17206517,45.99902927, 0.08
